Exercici,Commits
00_04,2
10_03,2
10_04,1
10_05,5
10_06,6
10_09,2
11_01,2
11_02,1
11_03,1
11_04,2
11_06,1
11_07,2
11_08,1
11_09,1
11_10,3
11_11,9
11_12,6
11_13,2
11_14,7
11_15,3
11_16,6
11_17,44
12_01,1
12_02,1
12_03,1
12_04,6
12_05,2
12_06,31
12_07,26
12_08,8
12_09,4
12_10,3
12_11,4
12_12,212
13_01,2
13_02,4
13_03,6
13_04,5
13_05,3
13_06,2
13_07,1
13_08,2
13_09,2
13_10,2
13_11,13
13_12,7
13_13,2
13_14,5
13_15,2
13_16,1
13_19,2
13_20,9
14_02,21
14_03,8
14_04,20
14_05,5
14_06,5
14_07,3
14_08,30
14_09,29
14_11,166
14_12,3
14_13,38
14_14,15
14_15,17
14_16,4
14_17,39
14_18,218
14_19,2
14_20,21
15_01,4
15_02,7
15_03,5
15_04,12
15_05,83
15_06,1
15_07,22
15_08,4
15_09,2
15_10,1
15_11,2
15_12,7
15_13,21
15_14,8
15_15,1
15_16,213
16_01,1
16_02,1
16_03,7
16_04,1
16_05,15
16_06,2
16_07,1
16_08,1
16_09,2
16_10,2
16_11,1
16_12,1
16_13,7
16_14,1
16_15,5
16_16,1
16_17,68
17_01,5
17_02,3
17_04,10
17_05,1
17_06,4
17_07,2
17_09,4
17_10,21
17_11,5
17_12,8
17_13,7
17_14,5
17_15,3
17_16,101
18_01,4
18_02,3
18_03,8
18_04,6
18_05,1
18_06,1
18_07,5
18_08,3
18_09,6
18_10,2
18_11,8
18_12,4
18_13,1
18_14,10
18_15,7
18_16,2
18_17,2
18_18,2
18_19,2
18_20,1
18_21,59
18_22,83
19_01,2
19_02,2
19_03,1
19_04,1
19_05,2
19_06,1
19_07,0
20_02,3
20_03,36
20_04,13
20_05,3
20_06,3
20_07,39
20_08,17
20_09,34
30_03,2
30_05,2
30_07,6
30_09,2
30_10,2
30_11,1
30_13,8
30_14,10
30_15,3
30_16,6
30_17,6
30_18,3
30_19,7
30_21,1
30_22,1
30_23,2
30_24,1
30_25,1
30_26,42
30_28,3
30_29,4
30_30,8
30_31,3
30_32,1
30_33,2
30_34,15
30_35,1
31_01,8
31_02,20
31_03,13
31_04,9
31_05,28
31_06,2
31_07,2
31_08,1
31_09,18
31_12,1
35_14,3
35_15,12
35_16,3
31_20,7
